Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2025.07.18_22.41.45	-17.439643	14.663212	Yas	1630	13	701	4G	-70	-12	0.0	-	-63		START DOWNLOAD	D
2025.07.18_22.42.01	-17.439618	14.663305	Yas	1032	12	701	4G	-66	-6	0.0	-	-61	HANDOVER_DATA_4G4G	608-02-701-1630-13-6400-403:608-02-701-1032-12-6400-458	I
2025.07.18_22.42.05	-17.439528	14.663335	Yas	1032	2	701	4G	-82	-7	0.0	-	-73	HANDOVER_DATA_4G4G	608-02-701-1032-12-6400-458:608-02-701-1032-2-1850-140	I
2025.07.18_22.42.17	-17.439435	14.663315	Yas		0	0	2G	-113	-	-	-	-	IRAT_HANDOVER_DATA_4G2G	608-02-701-1032-2-1850-140:608-02-0--0-0-0	D
2025.07.18_22.42.20	-17.439435	14.663315	Yas	1032	2	701	4G	-85	-7	0.0	-	-75	IRAT_HANDOVER_DATA_2G4G	608-02-0--0-0-0:608-02-701-1032-2-1850-140	I
2025.07.18_22.42.28	-17.439338	14.663288	Yas	1032	2	701	4G	-78	-7	0.0	-	-73	CALL_START	608-02-701-1032-2 VOICE SEQUENCE:14	I
2025.07.18_22.42.30	-17.439338	14.663288	Yas	0	0	0	3G	-113	-13	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1032-2-1850-140:608-02-0-0-0-0-0	VD
2025.07.18_22.42.30	-17.439338	14.663288	Yas	0	0	0	3G	-113	-13	-	-	-	CSFB_4G3G	2015	VD
2025.07.18_22.42.31	-17.43924	14.663312	Yas	0	0	0	2G	-113	-	-	-	-	CALL_DROP	608-02-0-0-0 VOICE SEQUENCE:14	D
2025.07.18_22.42.34	-17.43924	14.663312	Yas	1032	2	701	4G	-86	-13	0.0	-	-73	IRAT_HANDOVER_DATA_3G4G	608-02-0-0-0-0-0:608-02-701-1032-2-1850-140	I
2025.07.18_22.42.36	-17.43924	14.663312	Yas		0	0	2G	-113	-	-	-	-	IRAT_HANDOVER_DATA_4G2G	608-02-701-1032-2-1850-140:608-02-0--0-0-0	D
2025.07.18_22.42.38	-17.43924	14.663312	Yas	1032	2	701	4G	-74	-6	0.0	-	-73	IRAT_CELL_RESELECTION_2G4G	608-02-0--0-0-0:608-02-701-1032-2-1850-140	I
2025.07.18_22.42.42	-17.439147	14.6633	Yas		0	0	2G	-113	-	-	-	-	IRAT_HANDOVER_DATA_4G2G	608-02-701-1032-2-1850-140:608-02-0--0-0-0	D
2025.07.18_22.42.45	-17.439147	14.6633	Yas	1032	2	701	4G	-91	-10	0.0	-	-81	IRAT_CELL_RESELECTION_2G4G	608-02-0--0-0-0:608-02-701-1032-2-1850-140	I
2025.07.18_22.43.01	-17.438953	14.663242	Yas	1059	3	701	4G	-82	-9	0.0	-	-75	CELL_RESELECTION_4G4G	608-02-701-1032-2-1850-140:608-02-701-1059-3-1850-475	I
2025.07.18_22.43.06	-17.438953	14.663242	Yas	1059	3	701	4G	-80	-9	0.0	-	-71		START PING	I
2025.07.18_22.43.10	-17.438857	14.663212	Yas	1059	3	701	4G	-79	-7	0.0	-	-71		START UPLOAD	D
2025.07.18_22.43.23	-17.438765	14.66319	Yas	1059	3	701	4G	-82	-7	0.0	-	-77		START DOWNLOAD	D
2025.07.18_22.44.05	-17.438282	14.66312	Yas	1059	3	701	4G	-70	-9	0.0	-	-63	CALL_START	608-02-701-1059-3 VOICE SEQUENCE:15	I
2025.07.18_22.44.07	-17.438282	14.66312	Yas	0	0	0	3G	-113	-13	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1059-3-1850-475:608-02-0-0-0-0-0	VD
2025.07.18_22.44.07	-17.438282	14.66312	Yas	0	0	0	3G	-113	-13	-	-	-	CSFB_4G3G	1919	VD
2025.07.18_22.44.13	-17.43819	14.663098	Yas	5	10593	43	2G	-63	-	-	-	-	IRAT_HANDOVER_VOICE_3G2G	608-02-0-0-0-0-0:608-02-43-5-10593-3060-429	VD
2025.07.18_22.44.50	-17.437803	14.663018	Yas	5	10593	43	3G	-59	-4	-	-	-	CALL_END	608-02-43-5-10593 VOICE SEQUENCE:15	V
2025.07.18_22.45.16	-17.437713	14.663055	Yas	5	10593	43	3G	-71	-7	-	-	-	CALL_END	608-02-43-5-10593	I
2025.07.18_22.45.17	-17.437713	14.663055	Yas	1059	13	701	4G	-67	-9	0.0	-	-57	IRAT_HANDOVER_DATA_2G4G	608-02-43-5-10593-3060-429:608-02-701-1059-13-6400-120	D
2025.07.18_22.45.18	-17.437713	14.663055	Yas	1059	3	701	4G	-74	-6	0.0	-	-71	HANDOVER_DATA_4G4G	608-02-701-1059-13-6400-120:608-02-701-1059-3-1850-475	D
2025.07.18_22.45.23	-17.43765	14.66313	Yas	1059	3	701	4G	-73	-9	0.0	-	-67		START PING	I
2025.07.18_22.45.27	-17.43765	14.66313	Yas	1059	3	701	4G	-77	-10	0.0	-	-65		START UPLOAD	D
2025.07.18_22.45.40	-17.43761	14.663305	Yas	1059	3	701	4G	-92	-11	0.0	-	-83		START DOWNLOAD	D
2025.07.18_22.45.56	-17.437625	14.663403	Yas	1032	12	701	4G	-83	-13	0.0	-	-73	CELL_RESELECTION_4G4G	608-02-701-1059-3-1850-475:608-02-701-1032-12-6400-458	I
2025.07.18_22.45.59	-17.437663	14.663487	Yas	1032	1	701	4G	-99	-14	0.0	-	-85	HANDOVER_DATA_4G4G	608-02-701-1032-12-6400-458:608-02-701-1032-1-1850-132	D
2025.07.18_22.46.22	-17.437695	14.663573	Yas	1032	1	701	4G	-102	-14	0.0	-	-85	CALL_START	608-02-701-1032-1 VOICE SEQUENCE:16	I
2025.07.18_22.46.29	-17.437695	14.663573	Yas	5	10321	43	3G	-71	-9	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1032-1-1850-132:608-02-43-5-10321-3060-360	VD
2025.07.18_22.46.29	-17.437695	14.663573	Yas	5	10321	43	3G	-71	-9	-	-	-	CSFB_4G3G	7041	VD
2025.07.18_22.46.39	-17.437727	14.663665	Yas	5	10322	43	3G	-67	-7	-	-	-	HANDOVER_VOICE_3G3G	608-02-43-5-10321-3060-360:608-02-43-5-10322-3060-368	V
2025.07.18_22.46.50	-17.437727	14.663665	Yas	5	10321	43	3G	-71	-9	-	-	-	HANDOVER_VOICE_3G3G	608-02-43-5-10322-3060-368:608-02-43-5-10321-3060-360	V
2025.07.18_22.47.07	-17.437832	14.663815	Yas	5	10321	43	3G	-69	-7	-	-	-	CALL_END	608-02-43-5-10321 VOICE SEQUENCE:16	V
2025.07.18_22.47.09	-17.437832	14.663815	Yas	5	10322	43	3G	-67	-9	-	-	-	HANDOVER_VOICE_3G3G	608-02-43-5-10321-3060-360:608-02-43-5-10322-3060-368	V
2025.07.18_22.47.35	-17.437868	14.663993	Yas	5	10322	43	3G	-77	-10	-	-	-	CALL_END	608-02-43-5-10322	I
2025.07.18_22.47.37	-17.437868	14.664087	Yas	1032	12	701	4G	-82	-9	0.0	-	-73	IRAT_CELL_RESELECTION_3G4G	608-02-43-5-10322-3060-368:608-02-701-1032-12-6400-458	I
2025.07.18_22.47.39	-17.437868	14.664087	Yas	1032	1	701	4G	-89	-12	0.0	-	-77	CELL_RESELECTION_4G4G	608-02-701-1032-12-6400-458:608-02-701-1032-1-1850-132	I
2025.07.18_22.47.40	-17.437868	14.664087	Yas	1032	1	701	4G	-89	-12	0.0	-	-77		START PING	I
2025.07.18_22.47.41	-17.437868	14.664087	Yas		0	0	2G	-113	-	-	-	-	IRAT_CELL_RESELECTION_4G2G	608-02-701-1032-1-1850-132:608-02-0--0-0-0	I
